iter	TotalF1	MultiClass
0	0.3667637595	1.580966085
1	0.4172837749	1.555128157
2	0.4281726612	1.533473845
3	0.4319504838	1.516026743
4	0.4329100875	1.496223244
5	0.4349031848	1.47900667
6	0.4396382731	1.463855215
7	0.4394896247	1.449338049
8	0.4464337949	1.435070438
9	0.4448456899	1.42249973
10	0.4483913525	1.410597716
11	0.4512379914	1.399571033
12	0.4503254731	1.389040649
13	0.4536728325	1.378667461
14	0.4561481437	1.369624832
15	0.4573600753	1.36135463
16	0.458126373	1.353767433
17	0.4581382514	1.346560661
18	0.4582494997	1.340564249
19	0.4584831752	1.334081822
20	0.4602600668	1.327567009
21	0.4607708397	1.322519644
22	0.4620760222	1.316505216
23	0.463119928	1.311020279
24	0.4629676326	1.3055371
25	0.463375941	1.300678968
26	0.4645212402	1.296022326
27	0.4647442509	1.291834689
28	0.4651369173	1.287738929
29	0.4656235851	1.283730987
30	0.466038419	1.280690344
31	0.4659742999	1.277342068
32	0.4672142334	1.274182685
33	0.4682326334	1.270844591
34	0.4677319355	1.267497715
35	0.4698683306	1.264516939
36	0.4700352219	1.261517966
37	0.4703054173	1.258735577
38	0.4712276113	1.255921318
39	0.4721508547	1.253498472
40	0.469858983	1.250712203
41	0.4705258067	1.24817165
42	0.4714090003	1.245839019
43	0.4726123124	1.243426154
44	0.4726844952	1.241396992
45	0.4734132633	1.239256092
46	0.4731643823	1.237190438
47	0.4734864412	1.235273029
48	0.4753958386	1.23309988
49	0.4759579388	1.230716459
50	0.4775806637	1.228717003
51	0.4802187244	1.226517177
52	0.480676413	1.224437883
53	0.4813078467	1.222968912
54	0.4817180982	1.221551617
55	0.4819363734	1.219880967
56	0.4824787005	1.218193492
57	0.4829134588	1.216484074
58	0.4847792043	1.215463359
59	0.4862451012	1.214113363
60	0.4860396163	1.21248741
61	0.4872349443	1.211180971
62	0.4904055313	1.209215381
63	0.4903609122	1.208180735
64	0.4909929289	1.206590694
65	0.4910943212	1.205386848
66	0.4907757464	1.204196902
67	0.4905992613	1.203133185
68	0.4923964687	1.201987082
69	0.4934014696	1.200655742
70	0.4936289166	1.199728337
71	0.4942889026	1.198377738
72	0.4948639644	1.197028305
73	0.4951045424	1.196108867
74	0.4951399052	1.194903326
75	0.4952691156	1.193948362
76	0.4964989607	1.193009751
77	0.4980141752	1.192188114
78	0.4994926975	1.191241601
79	0.500225537	1.190536987
80	0.5001525492	1.189097887
81	0.5016064497	1.187800124
82	0.5014773443	1.186930605
83	0.5019580274	1.185648404
84	0.5034094212	1.184620028
85	0.5032899024	1.183878818
86	0.5039674137	1.182767425
87	0.5044012652	1.181790425
88	0.5041766046	1.180758015
89	0.5046708772	1.179830989
90	0.504551015	1.1791239
91	0.5066103901	1.178003089
92	0.5057902775	1.177168349
93	0.5063661458	1.176127856
94	0.5066536344	1.175255551
95	0.5081211645	1.174197934
96	0.5080139124	1.173612138
97	0.5080100513	1.17287154
98	0.5084358721	1.172338599
99	0.5081292893	1.171290129
100	0.5089952876	1.170782958
101	0.5102049646	1.169593811
102	0.511074178	1.168835009
103	0.5111678618	1.168301624
104	0.5105971561	1.167758547
105	0.5109128194	1.167003337
106	0.511376361	1.166231718
107	0.5120453942	1.165371229
108	0.512240659	1.164634228
109	0.5126186107	1.163614395
110	0.5134980767	1.163167284
111	0.5138141483	1.162255372
112	0.5137805661	1.161579527
113	0.5146903058	1.160821714
114	0.5152081112	1.160247086
115	0.5154838745	1.159625629
116	0.515743597	1.158708605
117	0.5164191184	1.158138016
118	0.5159266014	1.157439913
119	0.5163251576	1.156902191
120	0.5166107627	1.156062535
121	0.5177767372	1.155499691
122	0.5179479552	1.154492064
123	0.5183436894	1.153850166
124	0.5187998969	1.153103927
125	0.5188556743	1.152341147
126	0.5196730552	1.151896914
127	0.519918437	1.151176578
128	0.5195630515	1.150631866
129	0.5200734744	1.150037897
130	0.5208162671	1.149022171
131	0.5209445528	1.148548906
132	0.5213462906	1.147600029
133	0.5220523743	1.146789874
134	0.5219839136	1.146193922
135	0.5220178196	1.145261255
136	0.5221723786	1.144374076
137	0.5218846474	1.143945209
138	0.522549922	1.143177689
139	0.5230866388	1.142540192
140	0.5238186095	1.141646249
141	0.5244066294	1.14074844
142	0.5241521077	1.140049106
143	0.5248529485	1.139567079
144	0.5253137464	1.138922742
145	0.5254856304	1.138040307
146	0.5262654125	1.137472097
147	0.5265975883	1.137034159
148	0.5269894463	1.136634349
149	0.5278471189	1.136155936
150	0.5283829608	1.135666877
151	0.5280388716	1.134530746
152	0.5282384342	1.133970394
153	0.5293898664	1.133176147
154	0.5302039548	1.132364539
155	0.5304509969	1.131828451
156	0.5300955423	1.131597518
157	0.5301352227	1.131171062
158	0.5309116035	1.130575588
159	0.531474057	1.129942536
160	0.5322038288	1.129073083
161	0.5320932343	1.128699176
162	0.5320687484	1.128177507
163	0.5319843234	1.127592469
164	0.5332031489	1.126580976
165	0.5336556711	1.125998314
166	0.5342110048	1.125509221
167	0.5346573443	1.124769176
168	0.5344607451	1.124113971
169	0.5350673224	1.123777531
170	0.5357315219	1.123359548
171	0.5363651917	1.122830314
172	0.5360311407	1.122162211
173	0.5370238021	1.121376721
174	0.5380472222	1.120936337
175	0.5379990303	1.120266249
176	0.538167969	1.119864121
177	0.5379550422	1.119415658
178	0.5379313176	1.118832354
179	0.5378488069	1.118335911
180	0.5383087509	1.117871261
181	0.5392067566	1.117138
182	0.5396320569	1.11616222
183	0.5403491969	1.11574758
184	0.5407595771	1.115277732
185	0.5402518559	1.114672725
186	0.5410152305	1.113765467
187	0.5427094768	1.113266674
188	0.5426981221	1.112705542
189	0.5437271382	1.111914963
190	0.5443068445	1.111224095
191	0.544189449	1.110952517
192	0.5438222081	1.110330428
193	0.5443213371	1.109888125
194	0.5447501569	1.109317798
195	0.5453952995	1.1083112
196	0.5452240625	1.107822741
197	0.5460613194	1.107070262
198	0.5462261591	1.10646789
199	0.5467815939	1.105925042
200	0.5478383171	1.105148203
201	0.5485637159	1.104785976
202	0.5480717262	1.104286151
203	0.5483480668	1.103860134
204	0.548125624	1.10332661
205	0.548204987	1.102941823
206	0.5484902017	1.102214803
207	0.5489896388	1.10156376
208	0.5492331871	1.101275956
209	0.5503905771	1.100768929
210	0.5505416765	1.100100123
211	0.5508321416	1.099522717
212	0.5527226025	1.098409747
213	0.5523366445	1.097821977
214	0.5522756668	1.097227864
215	0.5530756013	1.096926579
216	0.5531713468	1.096552578
217	0.5537569009	1.095904063
218	0.5543036173	1.095077163
219	0.5553922357	1.094381758
220	0.5551132657	1.093945388
221	0.5559331558	1.093346677
222	0.5559168923	1.092876277
223	0.5558799924	1.092312997
224	0.5568322397	1.091744034
225	0.5569098653	1.091390215
226	0.5570474434	1.09086155
227	0.5566975374	1.090247369
228	0.5573010822	1.089745122
229	0.557268806	1.089356556
230	0.5581633322	1.088843389
231	0.5583688009	1.088158095
232	0.55856863	1.08785765
233	0.5591452557	1.087028048
234	0.5595175566	1.086514884
235	0.5593834786	1.085959648
236	0.560339825	1.085280981
237	0.5607396014	1.084797935
238	0.5608625567	1.084301573
239	0.5610555957	1.083808365
240	0.5622765459	1.083268305
241	0.5627825767	1.082814386
242	0.5624562188	1.082101268
243	0.5630028785	1.081429069
244	0.5632790366	1.080878356
245	0.5632421427	1.080385751
246	0.563368308	1.079928427
247	0.5638012725	1.079282243
248	0.56369624	1.078559938
249	0.5645006935	1.0780404
250	0.5649126507	1.077663618
251	0.5648021068	1.07721954
252	0.5654392074	1.076459628
253	0.5662731018	1.07590335
254	0.5669360964	1.075490877
255	0.5669161774	1.074869539
256	0.5671449597	1.074554547
257	0.5685954117	1.073483271
258	0.5684833868	1.072850267
259	0.5690249512	1.0724445
260	0.5696980625	1.071893253
261	0.5697891765	1.071163995
262	0.5708727533	1.070569797
263	0.5705070203	1.070139446
264	0.5712990057	1.069565254
265	0.5715916207	1.06881692
266	0.5712150319	1.068536303
267	0.5714236956	1.068054387
268	0.5718180641	1.067684329
269	0.5726183356	1.06711143
270	0.5718799684	1.066591735
271	0.5723791585	1.066102619
272	0.572815259	1.065310235
273	0.5729493097	1.064926192
274	0.5730935955	1.064346333
275	0.5730831512	1.063731269
276	0.5737036884	1.063332852
277	0.5739424869	1.062873347
278	0.5743803275	1.06234381
279	0.5750970971	1.061465208
280	0.5755328311	1.060848114
281	0.5757904988	1.060521278
282	0.5763248997	1.059637443
283	0.576409885	1.059106553
284	0.5769909804	1.058615549
285	0.5775983877	1.057992658
286	0.5784396519	1.057479952
287	0.5789366898	1.056910573
288	0.5790416843	1.056436647
289	0.580020739	1.05602592
290	0.5803432261	1.055486844
291	0.5799357802	1.054922663
292	0.5805816752	1.054047946
293	0.5804804273	1.053528357
294	0.5810874243	1.052946532
295	0.58121464	1.052573379
296	0.5817067647	1.051992633
