iter	Passed	Remaining
0	20	4148
1	36	3651
2	52	3435
3	67	3318
4	85	3318
5	99	3229
6	114	3163
7	130	3140
8	146	3105
9	162	3096
10	180	3098
11	197	3101
12	214	3092
13	232	3089
14	250	3092
15	266	3065
16	282	3038
17	299	3023
18	315	3008
19	333	2999
20	349	2979
21	366	2962
22	381	2935
23	389	2854
24	406	2848
25	425	2844
26	441	2831
27	458	2815
28	474	2797
29	493	2794
30	508	2773
31	524	2755
32	540	2737
33	557	2723
34	575	2715
35	593	2701
36	611	2692
37	626	2670
38	642	2651
39	659	2639
40	677	2625
41	693	2610
42	705	2577
43	720	2553
44	734	2531
45	749	2509
46	767	2496
47	782	2478
48	797	2456
49	812	2438
50	828	2421
51	843	2402
52	859	2384
53	873	2362
54	889	2344
55	904	2326
56	922	2314
57	937	2296
58	952	2277
59	967	2258
60	982	2238
61	998	2221
62	1019	2215
63	1033	2195
64	1050	2181
65	1073	2179
66	1092	2169
67	1108	2152
68	1123	2133
69	1138	2115
70	1156	2101
71	1173	2085
72	1188	2068
73	1207	2056
74	1225	2042
75	1242	2026
76	1259	2012
77	1276	1996
78	1292	1979
79	1308	1962
80	1325	1947
81	1341	1930
82	1356	1912
83	1374	1897
84	1391	1883
85	1411	1871
86	1431	1859
87	1450	1846
88	1469	1833
89	1490	1822
90	1508	1807
91	1528	1793
92	1547	1779
93	1566	1766
94	1585	1752
95	1603	1737
96	1621	1721
97	1640	1707
98	1658	1691
99	1675	1675
100	1696	1662
101	1719	1651
102	1736	1635
103	1754	1619
104	1770	1601
105	1783	1581
106	1797	1562
107	1815	1546
108	1833	1530
109	1846	1510
110	1861	1492
111	1878	1475
112	1894	1458
113	1909	1440
114	1925	1423
115	1940	1404
116	1954	1386
117	1970	1369
118	1987	1353
119	2003	1335
120	2020	1319
121	2039	1303
122	2062	1291
123	2080	1274
124	2096	1257
125	2112	1240
126	2127	1222
127	2142	1205
128	2160	1189
129	2176	1171
130	2192	1155
131	2207	1137
132	2223	1120
133	2239	1103
134	2256	1086
135	2272	1069
136	2289	1052
137	2305	1035
138	2321	1018
139	2337	1001
140	2357	986
141	2373	969
142	2389	952
143	2406	935
144	2423	919
145	2440	902
146	2453	884
147	2466	866
148	2479	848
149	2495	831
150	2511	814
151	2525	797
152	2540	780
153	2556	763
154	2570	746
155	2585	729
156	2601	712
157	2616	695
158	2631	678
159	2646	661
160	2662	644
161	2677	628
162	2693	611
163	2707	594
164	2724	577
165	2741	561
166	2757	544
167	2773	528
168	2792	512
169	2811	496
170	2829	479
171	2847	463
172	2863	446
173	2877	429
174	2892	413
175	2909	396
176	2926	380
177	2943	363
178	2959	347
179	2976	330
180	2995	314
181	3011	297
182	3029	281
183	3046	264
184	3063	248
185	3080	231
186	3096	215
187	3111	198
188	3127	182
189	3142	165
190	3157	148
191	3172	132
192	3188	115
193	3203	99
194	3218	82
195	3233	65
196	3248	49
197	3262	32
198	3277	16
199	3292	0
