feature_name,data_type,missing_count,unique_values,mean,std
p_age,int64,0,79,45.78372681028425,13.758307791042695
p_sex,int64,0,2,1.3878875963172719,0.48727018675469935
time_trend,int64,0,23,13.002912790453255,6.617681668141559
p_edu,float64,0,6,3.875758977100062,1.5635720968924063
experience_years,int64,0,72,23.821226735212335,13.689069994405424
p_wage,float64,0,700,230.30249178713208,154.22983497385047
p4321,float64,0,5,2.742245070777805,0.6053191423905957
p_wage_lag_1,float64,0,684,224.1705814169975,142.25937846169938
p_wage_lag_2,float64,0,668,219.27043307488574,131.28693496297294
p4321_lag_1,float64,0,5,2.780507726401893,0.5729814865810253
p4321_lag_2,float64,0,5,2.8128427033097707,0.5426707960402751
p_age_lag_1,float64,0,78,45.20539076435225,12.523381574897071
p_age_lag_2,float64,0,77,44.71311116049175,11.380003425258955
wage_change_1y,float64,0,12246,0.17606139455067105,4.837020058343752
satisfaction_change_1y,float64,0,9,-0.011651161813016871,0.5719543123969686
wage_ma_3y,float64,0,2453,219.74400775943357,145.78990324466423
satisfaction_ma_3y,float64,0,17,2.748264837714531,0.5204416961047897
age_edu_interaction,float64,0,258,167.59304413628257,68.01645269239674
wage_satisfaction_ratio,float64,0,1359,60.53853311472389,54.57376825347226
experience_wage_ratio,float64,0,7929,14.062758538793618,17.210344282425357
industry_changed,"industry_changed    int64
industry_changed    int64
dtype: object","industry_changed    0
industry_changed    0
dtype: int64","industry_changed    2
industry_changed    2
dtype: int64",,
wave_sin,float64,0,23,-0.17494542250415326,0.6771963308534154
wave_cos,float64,0,23,0.04733881201771156,0.7131367849287361
financial_crisis,int64,0,2,0.07231527803635883,0.2590100027063687
covid_period,int64,0,2,0.20824349727038502,0.40605311640032793
p_wage_std,float64,0,11594,70.19466338597705,57.50186167126311
p_wage_mean,float64,0,7358,225.71743787274073,135.69275825655262
p_wage_count,int64,0,24,11.897463770291939,6.566710874136634
p4321_std,float64,0,1484,0.4463072787287685,0.23436321096702553
p4321_mean,float64,0,349,2.693539899692583,0.48708653152832926
p4321_count,int64,0,24,12.01252800182575,6.595221167774432
current_industry,float64,0,198,552.308779811059,236.46177824910495
industry_changed,"industry_changed    int64
industry_changed    int64
dtype: object","industry_changed    0
industry_changed    0
dtype: int64","industry_changed    2
industry_changed    2
dtype: int64",,
